Model,is_Train,Accuracy,Precision,Recall,F1
LogReg,True,0.678386167146974,0.5717036788327012,0.4275560758670035,0.4595772413334952
LogReg,False,0.6507204610951008,0.5203181974789767,0.38997863394463617,0.4223282633842456
SVM,True,0.5446685878962535,0.3231723474232505,0.23631843944861175,0.23948177528292267
SVM,False,0.5769452449567724,0.515631726568253,0.2750409316185175,0.28934467772933337
QDA,True,0.24971181556195962,0.07985019785963048,0.0783105867022039,0.04979083297639846
QDA,False,0.3043227665706052,0.09290194870518839,0.10180844510354503,0.07735931077998066
LDA,True,0.6791066282420749,0.5478451959053878,0.5195144960739121,0.5247681015813712
LDA,False,0.6720461095100865,0.5671304282567128,0.5167818184896182,0.5319211032256654
Decision Tree,True,0.4204610951008646,0.26233612743850254,0.22871264711165534,0.23456505599220118
Decision Tree,False,0.42997118155619596,0.286247815718881,0.22551380596581366,0.23846694641998167
Random Forest,True,0.5453890489913544,0.501687384415619,0.2612445594747744,0.27981679229515144
Random Forest,False,0.5412103746397694,0.49068752687111516,0.25244155302627314,0.26682169416064233
XGBoosting,True,0.684149855907781,0.6809578861374057,0.506434518079088,0.5522714553248352
XGBoosting,False,0.6657060518731989,0.6913772538062197,0.5173151550245502,0.5628515301942032
MLP,True,0.6463976945244957,0.5768383097587775,0.46878515221074124,0.49809139463035557
MLP,False,0.6512968299711815,0.5841338898638627,0.4736268332800201,0.508780638102813
